feature,importance
LAst_max,32.3871226664015
LAst_mean,38.03042669027578
LAst_min,29.55539665528812
LAst_std,36.205699467183926
LAst_sum,36.97975295881207
LBlk_max,32.392175006259244
LBlk_mean,41.81618305824129
LBlk_min,28.766579929366987
LBlk_std,37.69037000125027
LBlk_sum,40.11001817088388
LConfAbbrev,53.052226392432786
LDR_max,34.52226074128026
LDR_mean,36.98031729809554
LDR_min,31.647537051670326
LDR_std,35.53558936115246
LDR_sum,35.53952821098007
LDayNum_max,32.29309135354102
LDayNum_mean,36.730721787880015
LDayNum_min,29.281324789837267
LDayNum_std,37.873714715189315
LDayNum_sum,39.36654219740178
LEV,39.17173425674039
LFG3Ratio,34.671798982150676
LFGA3_max,29.818213995461214
LFGA3_mean,37.242245468678114
LFGA3_min,29.927530627775326
LFGA3_std,33.279530432006474
LFGA3_sum,34.262315894183075
LFGA_max,32.90939076677063
LFGA_mean,38.18114209031083
LFGA_min,31.546806108957618
LFGA_std,36.30481435472412
LFGA_sum,36.44484570327403
LFGM3_max,29.340980373490513
LFGM3_mean,39.047446290314724
LFGM3_min,23.929711091611345
LFGM3_std,37.11474238344584
LFGM3_sum,35.855654877159154
LFGM_max,38.037921531626075
LFGM_mean,41.0897907524428
LFGM_min,30.919439304012155
LFGM_std,37.678034513611514
LFGM_sum,43.90296570473312
LFGRatio,41.235633240650465
LFTA_max,33.84934461205682
LFTA_mean,36.473930443351506
LFTA_min,34.426224450929034
LFTA_std,36.872349385548596
LFTA_sum,35.68754790291523
LFTM_max,31.323958798174754
LFTM_mean,35.29746502361804
LFTM_min,30.374643598283424
LFTM_std,38.13110747772693
LFTM_sum,34.83005332583685
LFTR,35.36283410408275
LFTRatio,35.40592162010933
LLoc_max,0.0
LLoc_mean,41.534747361154444
LLoc_min,0.0
LLoc_std,39.70818610472387
LLoc_sum,35.122361056564266
LNumLose,39.15491758607792
LNumOT_max,16.35848566643688
LNumOT_mean,34.573408775433236
LNumOT_min,0.0
LNumOT_std,34.354096970455984
LNumOT_sum,26.106586825022813
LNumWin,37.84522801206576
LOR%,37.41396897730499
LOR_max,30.677267617175723
LOR_mean,34.21158330125776
LOR_min,29.349405099855307
LOR_std,34.3643960432443
LOR_sum,36.4080857560253
LOrdinalRank_max,44.00513165917413
LOrdinalRank_mean,45.92223298764905
LOrdinalRank_min,40.580006605133924
LOrdinalRank_std,41.63199910643472
LOrdinalRank_sum,43.521083419608225
LPF_max,31.30945807343202
LPF_mean,36.90039265966928
LPF_min,31.453053740756655
LPF_std,34.18378450666649
LPF_sum,37.65674240452308
LPOSS,35.10406370093463
LPPP,37.88419673442036
LRankingDayNum_max,23.953808594454138
LRankingDayNum_mean,36.198329229144385
LRankingDayNum_min,30.870799034002808
LRankingDayNum_std,38.37588740734714
LRankingDayNum_sum,39.940594525133335
LScoreGap_max,37.49365631706347
LScoreGap_mean,45.99382984918734
LScoreGap_min,34.34429578900783
LScoreGap_std,37.520502128004786
LScoreGap_sum,47.05806535233029
LScore_max,35.82445323163665
LScore_mean,39.67303964918965
LScore_min,34.86185995015438
LScore_std,34.97521158472921
LScore_sum,39.1616864601632
LStl_max,29.82998412167919
LStl_mean,37.41173676193402
LStl_min,28.112721675216015
LStl_std,38.36113273875834
LStl_sum,37.49334404553305
LTO%,38.0821856561734
LTO_max,32.677319755712254
LTO_mean,36.26641235210717
LTO_min,29.326042406357455
LTO_std,38.36549795582862
LTO_sum,34.719151198746935
LTR,35.52278370170778
LTS%,33.98271800708496
LTeams_FirstD1Season,34.01239345912433
LTeams_LastD1Season,28.23843295703363
LTeams_diff_D1Season,33.165687966006786
LWinRatio,41.11722468087258
L_Shift_Ast_max,36.16175623859974
L_Shift_Ast_mean,34.595330169982496
L_Shift_Ast_min,25.975832317600567
L_Shift_Ast_std,38.032285816092276
L_Shift_Ast_sum,38.64116481489409
L_Shift_Blk_max,30.144918579542477
L_Shift_Blk_mean,39.142227581954884
L_Shift_Blk_min,19.67891702975486
L_Shift_Blk_std,35.14448082562795
L_Shift_Blk_sum,37.92505168393119
L_Shift_DR_max,35.613839763679906
L_Shift_DR_mean,37.271685504521564
L_Shift_DR_min,31.04260288531767
L_Shift_DR_std,34.90843858813745
L_Shift_DR_sum,36.7649498819533
L_Shift_DayNum_max,33.861842476490146
L_Shift_DayNum_mean,35.242466733087184
L_Shift_DayNum_min,28.35473313477272
L_Shift_DayNum_std,35.939059431178045
L_Shift_DayNum_sum,38.36786072917625
L_Shift_EV,38.76568132277521
L_Shift_FG3Ratio,37.30285739060711
L_Shift_FGA3_max,34.913817229830855
L_Shift_FGA3_mean,36.61067858505263
L_Shift_FGA3_min,29.178293915593603
L_Shift_FGA3_std,36.088845651001805
L_Shift_FGA3_sum,35.137960385345444
L_Shift_FGA_max,33.30059718026096
L_Shift_FGA_mean,35.8908062894518
L_Shift_FGA_min,31.992319421112423
L_Shift_FGA_std,34.15539256491575
L_Shift_FGA_sum,35.957834699761484
L_Shift_FGM3_max,28.843892902207443
L_Shift_FGM3_mean,35.192892781120726
L_Shift_FGM3_min,26.743874340931605
L_Shift_FGM3_std,38.40278885143933
L_Shift_FGM3_sum,33.479054197355715
L_Shift_FGM_max,36.82668431433345
L_Shift_FGM_mean,36.85030416548095
L_Shift_FGM_min,27.864541195076946
L_Shift_FGM_std,39.706138577144294
L_Shift_FGM_sum,40.514400684426384
L_Shift_FGRatio,40.011462562521395
L_Shift_FTA_max,32.38921082543851
L_Shift_FTA_mean,33.063781573241684
L_Shift_FTA_min,31.070144756891867
L_Shift_FTA_std,39.17093971687342
L_Shift_FTA_sum,37.161062236691976
L_Shift_FTM_max,33.172959355680575
L_Shift_FTM_mean,35.115934681129374
L_Shift_FTM_min,30.60825394200237
L_Shift_FTM_std,35.135681019609464
L_Shift_FTM_sum,35.483965039896596
L_Shift_FTR,32.445609369172736
L_Shift_FTRatio,38.1006695356422
L_Shift_Loc_max,0.0
L_Shift_Loc_mean,42.439311152727015
L_Shift_Loc_min,0.0
L_Shift_Loc_std,38.537715746675374
L_Shift_Loc_sum,38.56295089671566
L_Shift_NumLose,37.00961001283066
L_Shift_NumOT_max,22.048842699994154
L_Shift_NumOT_mean,33.44622764272523
L_Shift_NumOT_min,0.0
L_Shift_NumOT_std,35.15832478014214
L_Shift_NumOT_sum,26.202392305851593
L_Shift_NumWin,38.10042724687117
L_Shift_OR%,34.65016887422478
L_Shift_OR_max,31.07730472162618
L_Shift_OR_mean,33.8830919563638
L_Shift_OR_min,27.73826064653845
L_Shift_OR_std,38.53617123849007
L_Shift_OR_sum,35.28288955977471
L_Shift_PF_max,31.51028425051705
L_Shift_PF_mean,36.01920961109731
L_Shift_PF_min,30.084153025455834
L_Shift_PF_std,35.98997428958529
L_Shift_PF_sum,34.55839679209251
L_Shift_POSS,35.931597472628724
L_Shift_PPP,38.323063180858824
L_Shift_ScoreGap_max,39.96884321148654
L_Shift_ScoreGap_mean,44.12855381653725
L_Shift_ScoreGap_min,37.93252207568871
L_Shift_ScoreGap_std,38.53503510356963
L_Shift_ScoreGap_sum,42.016454277122136
L_Shift_Score_max,35.82332860344856
L_Shift_Score_mean,37.160355138404235
L_Shift_Score_min,33.39441829140076
L_Shift_Score_std,39.78498400963377
L_Shift_Score_sum,37.19517543727105
L_Shift_Stl_max,35.18424102136935
L_Shift_Stl_mean,38.16478227763725
L_Shift_Stl_min,25.705168652922026
L_Shift_Stl_std,36.60387100103845
