feature,importance
LAst_max,24.884254455566406
LAst_mean,30.003225803375244
LAst_min,24.228587865829468
LAst_std,27.83358335494995
LAst_sum,28.351780891418457
LBlk_max,29.8324031829834
LBlk_mean,33.07936191558838
LBlk_min,25.290593147277832
LBlk_std,29.433048725128174
LBlk_sum,38.2957124710083
LConfAbbrev,111.9342908859253
LDR_max,30.128642082214355
LDR_mean,30.55803346633911
LDR_min,26.63915491104126
LDR_std,27.516432762145996
LDR_sum,26.630571842193604
LDayNum_max,28.44307279586792
LDayNum_mean,29.0831356048584
LDayNum_min,27.734058141708374
LDayNum_std,29.510535717010498
LDayNum_sum,35.953176975250244
LEV,31.199900150299072
LFG3Ratio,24.181964635849
LFGA3_max,21.097041606903076
LFGA3_mean,30.124871253967285
LFGA3_min,25.871044158935547
LFGA3_std,27.52139711380005
LFGA3_sum,26.63575506210327
LFGA_max,23.507100105285645
LFGA_mean,28.0672926902771
LFGA_min,25.00077199935913
LFGA_std,26.36806058883667
LFGA_sum,27.684871196746826
LFGM3_max,24.75412940979004
LFGM3_mean,32.19574546813965
LFGM3_min,24.609488487243652
LFGM3_std,26.35838222503662
LFGM3_sum,28.1296968460083
LFGM_max,34.87547969818115
LFGM_mean,35.76190185546875
LFGM_min,23.188278913497925
LFGM_std,28.37495231628418
LFGM_sum,43.4583625793457
LFGRatio,34.81529426574707
LFTA_max,27.74630069732666
LFTA_mean,28.794458389282227
LFTA_min,25.176671743392944
LFTA_std,25.432687520980835
LFTA_sum,27.177380084991455
LFTM_max,25.301386833190918
LFTM_mean,27.481123447418213
LFTM_min,28.05738139152527
LFTM_std,29.231895923614502
LFTM_sum,27.105759143829346
LFTR,28.173616409301758
LFTRatio,25.26226806640625
LLoc_mean,36.37442684173584
LLoc_std,30.510550022125244
LLoc_sum,48.1928071975708
LNumLose,28.63166093826294
LNumOT_max,27.528645992279053
LNumOT_mean,33.55452489852905
LNumOT_std,30.75507164001465
LNumOT_sum,23.289350986480713
LNumWin,41.73772478103638
LOR%,29.755850791931152
LOR_max,20.73265027999878
LOR_mean,28.921314239501953
LOR_min,21.668716192245483
LOR_std,27.85961103439331
LOR_sum,29.52080202102661
LOrdinalRank_max,41.56938028335571
LOrdinalRank_mean,42.0905179977417
LOrdinalRank_min,44.767488956451416
LOrdinalRank_std,39.44559192657471
LOrdinalRank_sum,43.72710704803467
LPF_max,22.575279235839844
LPF_mean,30.370147228240967
LPF_min,26.918732166290283
LPF_std,25.91297960281372
LPF_sum,26.63051176071167
LPOSS,30.557228088378906
LPPP,28.611084938049316
LPTS,30.179240703582764
LRankingDayNum_mean,32.065293312072754
LRankingDayNum_min,23.611953020095825
LRankingDayNum_std,32.24428939819336
LRankingDayNum_sum,31.669575214385986
LScoreGap_max,42.138694286346436
LScoreGap_mean,71.52026653289795
LScoreGap_min,28.251439094543457
LScoreGap_std,27.334556579589844
LScoreGap_sum,68.18521118164062
LScore_max,24.291762351989746
LScore_mean,31.40000057220459
LScore_min,25.507221698760986
LScore_std,27.140556812286377
LScore_sum,28.498273849487305
LStl_max,26.698101043701172
LStl_mean,30.449527263641357
LStl_min,28.36869978904724
LStl_std,29.133373260498047
LStl_sum,31.861026763916016
LTO%,29.824002265930176
LTO_max,34.28842353820801
LTO_mean,30.87668466567993
LTO_min,26.972803592681885
LTO_std,27.401224613189697
LTO_sum,25.25328540802002
LTR,25.479355812072754
LTS%,26.643542289733887
LTeams_FirstD1Season,35.59416151046753
LTeams_LastD1Season,24.425094604492188
LTeams_diff_D1Season,34.92502689361572
LWinRatio,37.13862419128418
L_Shift_Ast_max,26.88143253326416
L_Shift_Ast_mean,26.90165662765503
L_Shift_Ast_min,23.131428241729736
L_Shift_Ast_std,28.416593551635742
L_Shift_Ast_sum,27.328540802001953
L_Shift_Blk_max,31.84141731262207
L_Shift_Blk_mean,32.446327209472656
L_Shift_Blk_min,31.72872495651245
L_Shift_Blk_std,31.180243968963623
L_Shift_Blk_sum,33.50967836380005
L_Shift_DR_max,27.693543434143066
L_Shift_DR_mean,28.330010414123535
L_Shift_DR_min,24.578040599822998
L_Shift_DR_std,28.081584453582764
L_Shift_DR_sum,29.71578025817871
L_Shift_DayNum_max,28.359999179840088
L_Shift_DayNum_mean,24.879053115844727
L_Shift_DayNum_min,32.87932562828064
L_Shift_DayNum_std,27.48746109008789
L_Shift_DayNum_sum,29.564632415771484
L_Shift_EV,27.775261402130127
L_Shift_FG3Ratio,29.77287530899048
L_Shift_FGA3_max,23.569715976715088
L_Shift_FGA3_mean,29.853310585021973
L_Shift_FGA3_min,24.638105869293213
L_Shift_FGA3_std,27.870293140411377
L_Shift_FGA3_sum,28.070723056793213
L_Shift_FGA_max,25.0848650932312
L_Shift_FGA_mean,28.85507345199585
L_Shift_FGA_min,23.405622720718384
L_Shift_FGA_std,27.52404499053955
L_Shift_FGA_sum,30.453621864318848
L_Shift_FGM3_max,19.791125535964966
L_Shift_FGM3_mean,29.786303997039795
L_Shift_FGM3_min,28.311604499816895
L_Shift_FGM3_std,28.209757804870605
L_Shift_FGM3_sum,26.545880794525146
L_Shift_FGM_max,36.27355098724365
L_Shift_FGM_mean,33.27548027038574
L_Shift_FGM_min,21.18284320831299
L_Shift_FGM_std,32.54645538330078
L_Shift_FGM_sum,37.18554496765137
L_Shift_FGRatio,33.93266773223877
L_Shift_FTA_max,26.543139457702637
L_Shift_FTA_mean,23.966054916381836
L_Shift_FTA_min,26.155975341796875
L_Shift_FTA_std,26.665603160858154
L_Shift_FTA_sum,30.530590057373047
L_Shift_FTM_max,30.18608283996582
L_Shift_FTM_mean,28.471869945526123
L_Shift_FTM_min,25.276244401931763
L_Shift_FTM_std,26.39885425567627
L_Shift_FTM_sum,28.619874000549316
L_Shift_FTR,26.596160888671875
L_Shift_FTRatio,30.721638679504395
L_Shift_Loc_mean,40.13039970397949
L_Shift_Loc_std,32.87667751312256
L_Shift_Loc_sum,45.39712476730347
L_Shift_NumLose,35.319106101989746
L_Shift_NumOT_max,18.730409860610962
L_Shift_NumOT_mean,26.154967784881592
L_Shift_NumOT_std,26.21888303756714
L_Shift_NumOT_sum,20.691184043884277
L_Shift_NumWin,30.742206811904907
L_Shift_OR%,24.747065782546997
L_Shift_OR_max,24.178357362747192
L_Shift_OR_mean,24.7236909866333
L_Shift_OR_min,18.44317865371704
L_Shift_OR_std,27.156165599822998
L_Shift_OR_sum,29.53257179260254
L_Shift_PF_max,24.72240447998047
L_Shift_PF_mean,25.559239864349365
L_Shift_PF_min,24.96440291404724
L_Shift_PF_std,26.27645969390869
L_Shift_PF_sum,26.52305269241333
L_Shift_POSS,28.41922664642334
L_Shift_PPP,31.267356395721436
L_Shift_PTS,30.844539165496826
L_Shift_ScoreGap_max,32.560073375701904
L_Shift_ScoreGap_mean,49.30665588378906
L_Shift_ScoreGap_min,32.111329078674316
L_Shift_ScoreGap_std,30.302498817443848
L_Shift_ScoreGap_sum,48.29312801361084
L_Shift_Score_max,29.308552742004395
L_Shift_Score_mean,29.962709426879883
L_Shift_Score_min,27.084993362426758
L_Shift_Score_std,31.567519187927246
L_Shift_Score_sum,31.879250049591064
L_Shift_Stl_max,29.392927169799805
L_Shift_Stl_mean,32.474525451660156
L_Shift_Stl_min,23.930464506149292
L_Shift_Stl_std,31.065121173858643
L_Shift_Stl_sum,29.423153400421143
L_Shift_TO%,25.661512851715088
L_Shift_TO_max,22.592183351516724
L_Shift_TO_mean,27.333756923675537
L_Shift_TO_min,22.148361206054688
L_Shift_TO_std,25.518916606903076
L_Shift_TO_sum,27.10508155822754
L_Shift_TR,28.325218677520752
L_Shift_TS%,29.504511833190918
L_Shift_WinRatio,38.633105754852295
L_Shift_diff_win_lose,31.561241149902344
L_Shift_eFG,28.207874298095703
Ldays_coaches,35.58175563812256
Ldiff_win_lose,39.28205108642578
LeFG,29.82912588119507
Lregion,14.789945125579834
Lseed_in_region,222.66778945922852
Lseed_in_region2,38.12256622314453
RegionW,25.8062481880188
RegionX,21.22666835784912
RegionY,23.965529918670654
RegionZ,13.322085618972778
Season,16.722229957580566
WAst_max,26.895816802978516
WAst_mean,27.660978317260742
WAst_min,27.83888864517212
WAst_std,24.666345596313477
WAst_sum,28.417651176452637
WBlk_max,29.33804988861084
WBlk_mean,33.35798740386963
WBlk_min,23.888718366622925
WBlk_std,30.90341567993164
WBlk_sum,36.10568809509277
WConfAbbrev,108.60657119750977
WDR_max,27.03330421447754
WDR_mean,29.063077926635742
WDR_min,25.583032608032227
WDR_std,28.854679107666016
WDR_sum,25.609010696411133
WDayNum_max,25.41935968399048
WDayNum_mean,26.94040584564209
WDayNum_min,26.028098583221436
WDayNum_std,27.61897611618042
WDayNum_sum,33.21620178222656
WEV,32.15274953842163
WFG3Ratio,26.604064464569092
WFGA3_max,23.189590454101562
WFGA3_mean,27.046645641326904
WFGA3_min,24.275288343429565
WFGA3_std,25.289583206176758
WFGA3_sum,26.312228679656982
WFGA_max,24.133848667144775
WFGA_mean,26.692861557006836
WFGA_min,25.441944122314453
WFGA_std,26.15246868133545
WFGA_sum,28.808658599853516
WFGM3_max,27.997746467590332
WFGM3_mean,31.07071876525879
WFGM3_min,17.422072887420654
WFGM3_std,26.98063850402832
WFGM3_sum,29.073689460754395
WFGM_max,33.62765407562256
WFGM_mean,35.020639419555664
WFGM_min,24.528690099716187
WFGM_std,29.345540523529053
WFGM_sum,39.945127964019775
WFGRatio,34.349079608917236
WFTA_max,28.188884258270264
WFTA_mean,30.866017818450928
WFTA_min,25.512376308441162
WFTA_std,25.725709199905396
WFTA_sum,28.324163913726807
WFTM_max,24.757885932922363
WFTM_mean,28.877175331115723
WFTM_min,25.771057844161987
WFTM_std,30.92505645751953
WFTM_sum,24.56532907485962
WFTR,25.946228981018066
WFTRatio,22.95645022392273
WLoc_mean,35.2364182472229
WLoc_std,32.139602184295654
WLoc_sum,51.19423484802246
WNumLose,25.80073833465576
WNumOT_max,27.49454402923584
WNumOT_mean,30.244431018829346
WNumOT_std,27.206897258758545
WNumOT_sum,24.078399181365967
WNumWin,47.79661703109741
WOR%,29.162166595458984
WOR_max,26.159783363342285
WOR_mean,28.648183345794678
WOR_min,27.03652334213257
WOR_std,25.87748670578003
WOR_sum,28.813095569610596
WOrdinalRank_max,43.53504419326782
WOrdinalRank_mean,50.9087347984314
WOrdinalRank_min,45.68743085861206
WOrdinalRank_std,40.03187608718872
WOrdinalRank_sum,43.11071014404297
WPF_max,28.9931960105896
WPF_mean,30.871520519256592
WPF_min,28.21149253845215
WPF_std,24.940391063690186
WPF_sum,26.632314205169678
WPOSS,28.947089195251465
WPPP,32.23676776885986
WPTS,30.793622493743896
WRankingDayNum_mean,28.842676639556885
WRankingDayNum_min,36.12850999832153
WRankingDayNum_std,32.18471670150757
WRankingDayNum_sum,30.8180193901062
WScoreGap_max,38.859028339385986
WScoreGap_mean,57.99247932434082
WScoreGap_min,27.27082633972168
WScoreGap_std,28.7278995513916
WScoreGap_sum,67.96496868133545
WScore_max,28.77522563934326
WScore_mean,30.92120933532715
WScore_min,25.668713808059692
WScore_std,28.058300495147705
WScore_sum,31.165005207061768
WStl_max,23.25614356994629
WStl_mean,31.700264930725098
WStl_min,25.80515432357788
WStl_std,27.0480318069458
WStl_sum,33.23329973220825
